"","node_id","katz","node_name","taxon","eigen"
"1",1,0.00108421027899695,"01PLANT.Ash","Plant",0
"2",2,0.0010842404107213,"01PLANT.Autumn Hawkbit","Plant",0
"3",3,0.00108421055061035,"01PLANT.Bindweed sp","Plant",0
"4",4,0.00108421023564711,"01PLANT.Black Bindweed","Plant",0
"5",5,0.00108422701084386,"01PLANT.Blackthorn","Plant",0
"6",6,0.00108421025148033,"01PLANT.Bluebell","Plant",0
"7",7,0.00108430954580481,"01PLANT.Bramble","Plant",0
"8",8,0.00108421036647231,"01PLANT.Bugle","Plant",0
"9",9,0.00108421032286559,"01PLANT.Bush Vetch","Plant",0
"10",10,0.00108608062124957,"01PLANT.Charlock","Plant",1.1792893612579e-08
"11",11,0.00108421043655136,"01PLANT.Chenopodium sp","Plant",0
"12",12,0.0010846006091884,"01PLANT.Cleavers","Plant",0
"13",13,0.00108626041844217,"01PLANT.Clover sp","Plant",0
"14",14,0.00108421024016459,"01PLANT.Common Bird's-foot-trefoil","Plant",0
"15",15,0.00108422467609656,"01PLANT.Common Field Speedwell","Plant",0
"16",16,0.00108426016962609,"01PLANT.Common Fleabane","Plant",0
"17",17,0.00108431456266253,"01PLANT.Common Mouse-ear","Plant",0
"18",18,0.00108421589146211,"01PLANT.Common Poppy","Plant",2.13667385850488e-10
"19",19,0.00108421860712997,"01PLANT.Common Vetch","Plant",0
"20",20,0.00108421097135303,"01PLANT.Corn Mint","Plant",0
"21",21,0.00108421023581605,"01PLANT.Corn Sowthistle","Plant",0
"22",22,0.00108421084659734,"01PLANT.Corn Spurrey","Plant",0
"23",23,0.00108421335468854,"01PLANT.Cow Parsley","Plant",0
"24",24,0.00108640308934183,"01PLANT.Creeping Buttercup","Plant",1.74434927027175e-09
"25",25,0.00108421314301619,"01PLANT.Creeping Cinquefoil","Plant",0
"26",26,0.00571970731061802,"01PLANT.Creeping Thistle","Plant",2.70611972139826e-10
"27",27,0.00108421024087273,"01PLANT.Cuckooflower","Plant",0
"28",28,0.00108421023569263,"01PLANT.Cut-leaved Crane's-bill","Plant",0
"29",29,0.00108426389641174,"01PLANT.Daisy","Plant",0
"30",30,0.00108421045131558,"01PLANT.Dandelion","Plant",0
"31",31,0.00109275689762117,"01PLANT.Dock sp","Plant",7.17681808624552e-12
"32",32,0.00108421023682349,"01PLANT.Dog's Mercury","Plant",0
"33",33,0.0010842102814562,"01PLANT.Dogwood","Plant",0
"34",34,0.00108421025262525,"01PLANT.Elder","Plant",0
"35",35,0.00108421408440149,"01PLANT.Elm sp","Plant",0
"36",36,0.0271243089393994,"01PLANT.Field Forget-me-not","Plant",0.0260662179847486
"37",37,0.0010842102356356,"01PLANT.Field Madder","Plant",0
"38",38,0.00108422515837401,"01PLANT.Field Maple","Plant",0
"39",39,0.00108421027922191,"01PLANT.Garlic Mustard","Plant",0
"40",40,0.00108421030104185,"01PLANT.Germander Speedwell","Plant",0
"41",41,0.0011451400875072,"01PLANT.Grass sp","Plant",5.28506252787921e-08
"42",42,0.00108421043082988,"01PLANT.Ground Ivy","Plant",0
"43",43,0.00108421691562143,"01PLANT.Hairy Tare","Plant",2.10769465681711e-09
"44",44,0.00108421025937702,"01PLANT.Hawkish Complex sp","Plant",0
"45",45,0.00108421432773562,"01PLANT.Hawthorn","Plant",0
"46",46,0.00108421237976748,"01PLANT.Hazel","Plant",0
"47",47,0.00108421632021025,"01PLANT.Hedge Woundwort","Plant",0
"48",48,0.00108421023562331,"01PLANT.Herb Bennet","Plant",0
"49",49,0.00108421031851696,"01PLANT.Herb Robert","Plant",0
"50",50,0.00108575309428357,"01PLANT.Hogweed","Plant",0
"51",51,0.00108421042759693,"01PLANT.Honeysuckle","Plant",0
"52",52,0.00108421023638654,"01PLANT.Knotgrass sp","Plant",0
"53",53,0.00108421314374774,"01PLANT.Lesser Burdock","Plant",0
"54",54,0.00108421026122455,"01PLANT.Lesser Stitchwort","Plant",0
"55",55,0.00108421744596445,"01PLANT.Lesser Trefoil","Plant",0
"56",56,0.999656461094011,"01PLANT.Mayweed sp","Plant",0.999660086212062
"57",57,0.00108421178069255,"01PLANT.Meadow Buttercup","Plant",2.5308013578826e-10
"58",58,0.00108421025289197,"01PLANT.Nipplewort","Plant",0
"59",59,0.00108542406551956,"01PLANT.Oak","Plant",0
"60",60,0.00108421045834798,"01PLANT.Oil Seed Rape","Plant",0
"61",61,0.00108424306994604,"01PLANT.Parsley Piert","Plant",0
"62",62,0.00108421030819002,"01PLANT.Persicaria sp","Plant",0
"63",63,0.0010847760542886,"01PLANT.Pineappleweed","Plant",0
"64",64,0.0010842311280694,"01PLANT.Plantain sp","Plant",0
"65",65,0.00108421046517893,"01PLANT.Ragwort","Plant",0
"66",66,0.00108421043038427,"01PLANT.Red Campion","Plant",0
"67",67,0.00108421023849833,"01PLANT.Red Dead-nettle","Plant",0
"68",68,0.00108424093554984,"01PLANT.Rose sp","Plant",0
"69",69,0.00108421099902745,"01PLANT.Rough Chervil","Plant",0
"70",70,0.00108421032453823,"01PLANT.Selfheal","Plant",0
"71",71,0.00108421276042925,"01PLANT.Shepherd's Purse","Plant",5.54111743949556e-10
"72",72,0.0010856934965233,"01PLANT.Sow-thistle sp","Plant",4.15310574365593e-10
"73",73,0.00108502432449618,"01PLANT.Spear Thistle","Plant",0
"74",74,0.00108421087234557,"01PLANT.Spindle","Plant",0
"75",75,0.00108435130474864,"01PLANT.Stinging Nettle","Plant",0
"76",76,0.00108421025236932,"01PLANT.Sycamore","Plant",0
"77",77,0.00108421120473472,"01PLANT.Teasel","Plant",0
"78",78,0.00108421023607462,"01PLANT.Traveller's Joy","Plant",0
"79",79,0.00108421132506111,"01PLANT.Upright Hedge-parsley","Plant",0
"80",80,0.00108439310229203,"01PLANT.Wall Speedwell","Plant",0
